"id","height","weight","rating","potential","preferred_foot","weak_foot","skill_moves","international_reputation","club_rating"
"229558","186","90","85","88","Right","3 ","3","Continental","84"
"226268","175","76","85","86","Left","4 ","3","Continental","84"
"223848","192","95","85","85","Right","5 ","4","Continental","77"
"218667","173","65","85","85","Left","3 ","4","Continental","85"
"215914","168","70","85","85","Right","3 ","2","Continental","74"
"210514","182","74","85","85","Right","4 ","4","Continental","77"
"210035","171","68","85","85","Left","2 ","4","International","83"
"204485","179","67","85","85","Left","4 ","5","Continental","75"
"193080","192","76","85","85","Right","2 ","1","Continental","77"
"186153","196","90","85","85","Right","3 ","1","Continental","84"
"177003","172","67","85","85","Right","4 ","4","International","85"
"20801","187","85","85","85","Right","4 ","5","International","76"
"272834","174","66","84","90","Right","4 ","3","Local","83"
"256675","183","81","84","85","Right","3 ","4","Continental","85"
"253149","172","65","84","86","Right","3 ","3","Continental","83"
"251517","185","80","84","87","Left","5 ","3","Continental","85"
"247394","186","80","84","87","Left","3 ","4","Continental","81"
"246104","190","77","84","87","Right","4 ","4","Continental","84"
"245367","179","58","84","89","Right","3 ","4","Continental","80"
"243580","175","79","84","87","Right","4 ","3","Continental","80"
"242516","189","76","84","85","Right","4 ","4","Continental","84"
"241637","187","81","84","87","Right","3 ","3","Continental","85"
"240638","185","73","84","87","Right","4 ","4","Continental","81"
"234577","187","84","84","90","Right","2 ","1","Continental","76"
"234396","185","77","84","87","Left","3 ","4","Continental","84"
"234236","191","87","84","84","Left","3 ","3","Continental","83"
"231936","185","77","84","84","Right","4 ","2","Continental","83"
"231521","178","69","84","87","Right","4 ","3","Continental","83"
"230899","174","71","84","85","Right","4 ","4","Continental","80"
"228093","192","80","84","85","Right","4 ","3","Continental","84"
"227796","178","73","84","85","Right","5 ","4","Continental","81"
"227127","191","79","84","85","Right","4 ","1","Continental","78"
"226851","186","81","84","84","Right","3 ","3","Continental","84"
"225193","189","83","84","84","Left","3 ","3","Continental","83"
"224458","178","70","84","84","Right","5 ","4","Continental","84"
"224293","180","83","84","85","Right","4 ","3","Continental","77"
"222492","183","80","84","84","Left","2 ","4","Continental","84"
"221697","180","70","84","84","Right","4 ","3","Continental","81"
"220697","175","73","84","84","Right","4 ","4","Continental","81"
"213345","181","75","84","84","Right","3 ","5","Continental","84"
"212616","180","70","84","84","Right","3 ","4","Continental","82"
"208722","174","69","84","84","Right","4 ","4","Continental","76"
"204525","182","76","84","84","Left","3 ","2","Continental","84"
"199845","192","88","84","84","Left","3 ","3","Continental","84"
"197445","180","78","84","84","Left","4 ","3","Continental","85"
"192629","176","67","84","84","Left","4 ","3","Continental","76"
"186942","180","80","84","84","Right","4 ","4","Continental","85"
"185122","193","86","84","84","Right","2 ","1","Continental","80"
"178603","191","94","84","84","Right","3 ","2","Continental","79"
"167495","193","93","84","84","Right","4 ","1","Continental","84"
"264652","186","70","83","88","Right","4 ","4","Continental","83"
"264453","193","86","83","87","Left","3 ","3","Continental","81"
"264240","173","70","83","89","Right","3 ","3","Continental","84"
"263578","175","69","83","87","Left","4 ","3","Continental","84"
"256197","184","77","83","87","Left","2 ","3","Continental","83"
"256196","188","81","83","88","Left","3 ","2","Local","83"
"252154","191","83","83","88","Right","3 ","1","Continental","80"
"252145","180","70","83","87","Left","4 ","3","Continental","83"
"248550","183","83","83","87","Right","2 ","2","Continental","80"
"248243","185","77","83","90","Left","3 ","4","Continental","85"
"247090","178","76","83","87","Right","4 ","3","Continental","80"
"246430","190","88","83","86","Left","4 ","3","Continental","80"
"244675","188","77","83","88","Right","4 ","4","Continental","80"
"242964","183","72","83","86","Right","3 ","3","Continental","81"
"242458","189","78","83","84","Left","4 ","3","Continental","79"
"241852","170","67","83","84","Left","3 ","4","Continental","74"
"240950","173","78","83","84","Right","4 ","4","Continental","79"
"240091","194","76","83","86","Right","4 ","1","Continental","81"
"239301","178","77","83","84","Left","3 ","3","Continental","80"
"239231","174","66","83","84","Left","3 ","3","Continental","80"
"237086","190","81","83","84","Right","3 ","2","Continental","84"
"236987","184","68","83","85","Right","3 ","3","Continental","81"
"235410","188","78","83","83","Left","3 ","3","Continental","80"
"235243","189","89","83","85","Right","3 ","2","Continental","80"
"233486","187","80","83","85","Right","3 ","2","Continental","82"
"233096","188","80","83","83","Right","3 ","2","Continental","84"
"232488","185","79","83","85","Right","2 ","3","Continental","81"
"230481","177","75","83","83","Right","4 ","4","Continental","75"
"229582","190","77","83","83","Right","3 ","2","Continental","79"
"229391","190","83","83","83","Right","4 ","2","Continental","84"
"229237","187","91","83","83","Right","4 ","2","Continental","85"
"228813","173","68","83","84","Right","3 ","3","Continental","83"
"226271","189","70","83","83","Left","3 ","3","Continental","83"
"226161","184","74","83","83","Right","4 ","3","Continental","82"
"225375","180","72","83","83","Right","3 ","3","Continental","84"
"224987","192","84","83","83","Right","2 ","1","Continental","79"
"223959","166","60","83","83","Right","3 ","3","Continental","79"
"222077","185","75","83","86","Right","4 ","3","Continental","80"
"220502","177","63","83","83","Right","4 ","4","Continental","79"
"217870","183","82","83","83","Right","3 ","3","Continental","79"
"216547","172","66","83","83","Right","3 ","4","Continental","76"
"216460","185","79","83","83","Right","3 ","2","Continental","82"
"216435","170","68","83","83","Right","4 ","3","Continental","79"
"216393","176","72","83","83","Right","4 ","4","Continental","81"
"216201","186","80","83","83","Right","3 ","4","Continental","80"
"212242","186","85","83","83","Right","4 ","2","Continental","83"
"212218","189","85","83","83","Left","3 ","2","Continental","76"
"210413","185","75","83","83","Left","3 ","2","Continental","79"
"210008","191","80","83","83","Left","3 ","3","Continental","78"
"209989","185","77","83","83","Right","3 ","3","Continental","83"
"209981","195","78","83","83","Left","2 ","1","Continental","77"
"209658","189","82","83","83","Right","4 ","3","Continental","84"
"208920","180","75","83","83","Left","3 ","2","Continental","85"
"208093","180","77","83","83","Left","4 ","3","Continental","78"
"207421","171","67","83","83","Right","5 ","4","Continental","83"
"207410","178","77","83","83","Right","4 ","4","Continental","85"
"204935","185","77","83","83","Left","4 ","1","Continental","76"
"204638","186","89","83","83","Right","3 ","2","Continental","80"
"203574","188","80","83","83","Right","4 ","3","Continental","85"
"201399","181","79","83","83","Right","4 ","3","Continental","79"
"201153","190","84","83","83","Right","4 ","3","Continental","79"
"198176","189","78","83","83","Right","3 ","2","Continental","84"
"197781","176","79","83","83","Right","4 ","4","Continental","78"
"193698","187","82","83","83","Right","2 ","1","Continental","75"
"192883","177","75","83","83","Right","5 ","4","Continental","84"
"192505","191","94","83","83","Left","4 ","3","Continental","79"
"190941","192","85","83","83","Right","3 ","1","Continental","83"
"183898","180","69","83","83","Left","2 ","5","Continental","79"
"270409","176","71","82","87","Left","2 ","4","Continental","85"
"257279","175","70","82","87","Right","4 ","3","Local","78"
"255565","178","74","82","82","Right","4 ","4","Continental","78"
"251809","193","81","82","85","Left","3 ","2","Continental","81"
"251805","179","78","82","86","Right","3 ","3","Continental","83"
"251752","189","84","82","88","Right","3 ","1","Continental","77"
"251566","178","75","82","85","Right","3 ","4","Continental","83"
"248148","180","74","82","86","Right","4 ","3","Continental","78"
"247679","190","91","82","87","Right","3 ","4","Continental","83"
"247263","192","84","82","84","Right","4 ","2","Continental","83"
"247103","188","82","82","84","Left","3 ","2","Continental","76"
"246147","181","70","82","86","Left","5 ","4","Continental","78"
"244669","185","78","82","86","Right","3 ","3","Continental","79"
"243630","178","81","82","85","Right","5 ","3","Continental","77"
"243576","173","69","82","85","Right","3 ","3","Continental","81"
"243014","171","75","82","84","Left","2 ","4","Local","77"
"240679","183","77","82","83","Left","2 ","3","Continental","80"
"239807","178","74","82","86","Right","4 ","3","Continental","84"
"238074","180","91","82","84","Right","4 ","3","Continental","80"
"237681","173","64","82","86","Left","4 ","4","Continental","78"
"236772","186","74","82","86","Right","4 ","4","Continental","84"
"236499","175","66","82","83","Right","2 ","3","Continental","80"
"236496","185","68","82","85","Right","3 ","4","Continental","79"
"235805","175","70","82","82","Right","4 ","4","Continental","84"
"235790","193","82","82","84","Left","4 ","4","Continental","83"
"232756","185","79","82","85","Right","4 ","2","Continental","81"
"232411","177","68","82","82","Right","3 ","5","Continental","80"
"231410","170","68","82","86","Right","5 ","4","Continental","85"
"230182","183","77","82","82","Right","3 ","1","Continental","75"
"230142","181","78","82","82","Left","3 ","3","Continental","78"
"229476","189","86","82","82","Right","3 ","3","National","81"
"229348","183","70","82","83","Left","3 ","3","Continental","77"
"228618","180","73","82","82","Left","5 ","4","Continental","85"
"227678","183","77","82","83","Right","3 ","2","Continental","81"
"226753","190","93","82","82","Right","3 ","1","Continental","80"
"225201","175","73","82","82","Right","4 ","3","Continental","80"
"225116","192","82","82","84","Left","3 ","1","Continental","79"
"224371","175","70","82","82","Left","4 ","4","Continental","78"
"223334","186","81","82","82","Right","3 ","3","Continental","81"
"222737","172","74","82","82","Left","3 ","4","Continental","77"
"220814","184","79","82","82","Left","2 ","2","Continental","83"
"220793","187","81","82","82","Right","2 ","2","Continental","79"
"216549","195","94","82","82","Left","4 ","3","Continental","82"
"216352","181","72","82","82","Right","4 ","3","Continental","76"
"216267","178","64","82","82","Left","2 ","3","Continental","84"
"215716","189","90","82","82","Right","4 ","3","Continental","77"
"215333","188","88","82","82","Right","4 ","3","Continental","76"
"213661","187","82","82","83","Right","3 ","2","Continental","84"
"212523","191","75","82","82","Left","4 ","4","Continental","80"
"212194","185","83","82","82","Right","4 ","4","Continental","81"
"211688","172","66","82","82","Left","3 ","4","Continental","77"
"210935","183","72","82","82","Left","3 ","4","Continental","72"
"210411","171","67","82","82","Right","3 ","4","Continental","76"
"210406","180","75","82","82","Right","5 ","3","Continental","84"
"210047","188","84","82","82","Right","3 ","2","Continental","81"
"208418","181","73","82","82","Right","4 ","4","Continental","71"
"208333","186","86","82","82","Right","4 ","3","Continental","81"
"206113","176","77","82","82","Right","4 ","4","Continental","84"
"204923","178","76","82","82","Right","4 ","3","Continental","81"
"203841","199","90","82","82","Right","3 ","1","Continental","81"
"202556","178","78","82","82","Right","3 ","5","Continental",""
"201024","186","89","82","82","Right","4 ","3","Continental","77"
"200724","180","76","82","82","Right","4 ","2","Continental","70"
"199434","181","76","82","82","Left","3 ","4","Continental","80"
"193747","176","75","82","82","Right","4 ","3","Continental","82"
"192984","197","86","82","82","Left","2 ","1","Continental","70"
"192387","185","85","82","82","Right","4 ","3","Continental","76"
"189513","182","74","82","82","Right","4 ","3","Continental","78"
"188943","189","84","82","82","Right","4 ","1","Continental","77"
"188567","187","80","82","82","Right","4 ","4","Continental","70"
"188377","183","83","82","82","Right","2 ","3","Continental","81"
"180930","193","80","82","82","Right","5 ","3","Continental","80"
"278046","182","75","81","89","Right","4 ","2","Continental","84"
"278016","180","75","81","86","Left","3 ","2","Continental","78"
"271421","181","79","81","90","Right","3 ","5","Local","83"
"266866","182","86","81","85","Right","3 ","3","Continental","80"
"261865","180","73","81","85","Left","3 ","2","Continental","78"
"260908","180","71","81","85","Left","3 ","3","Local","77"
"260247","188","80","81","85","Right","4 ","3","Continental","81"
"259583","186","73","81","85","Left","3 ","3","Continental","81"
"259197","187","78","81","85","Right","3 ","3","Continental","80"
"251470","192","79","81","85","Left","3 ","4","Local","80"
"250959","183","79","81","84","Left","3 ","3","Local","77"
"247257","185","73","81","83","Right","2 ","2","National","75"
"246863","194","80","81","86","Right","3 ","4","Local","81"
"245630","181","75","81","85","Right","3 ","3","National","81"
"244778","184","74","81","83","Left","2 ","4","Continental","79"
"244749","190","76","81","82","Left","3 ","2","National","78"
"244369","178","73","81","81","Left","4 ","4","Continental","78"
"243952","191","78","81","86","Right","3 ","1","Local","85"
"243245","175","72","81","85","Right","5 ","3","Continental","79"
"243241","190","86","81","86","Left","3 ","2","Local","79"
"241464","191","80","81","81","Left","2 ","2","Continental","81"
"241461","184","77","81","84","Right","4 ","4","Continental","84"
"241159","182","82","81","84","Right","5 ","2","Continental","78"
"240243","183","76","81","83","Right","4 ","4","Continental","76"
"238216","182","77","81","86","Right","4 ","3","Continental","82"
"238095","195","90","81","83","Right","3 ","2","National","78"
"237679","187","73","81","84","Right","4 ","3","Continental","80"
"237238","193","88","81","81","Right","3 ","3","National","79"
"236703","181","83","81","82","Left","2 ","3","Continental","80"
"236632","175","69","81","81","Left","3 ","5","Continental","79"
"236610","183","72","81","85","Right","3 ","3","Continental","77"
"236532","192","85","81","81","Right","4 ","2","National","77"
"236401","183","65","81","82","Right","3 ","3","Continental","80"
"236015","179","72","81","83","Right","3 ","4","Continental","78"
"235944","187","76","81","81","Left","3 ","4","Continental","78"
"235840","187","82","81","84","Right","3 ","1","Local","80"
"235794","178","67","81","83","Right","3 ","4","Continental","78"
"234060","184","78","81","82","Right","3 ","3","Continental","78"
"233556","183","83","81","81","Left","4 ","4","Continental","76"
"233195","174","78","81","83","Left","3 ","3","Continental","80"
"233084","175","70","81","82","Right","3 ","3","Continental","82"
"233049","180","76","81","83","Right","3 ","5","Continental","80"
"232639","172","74","81","81","Left","3 ","4","National","76"
"232498","169","71","81","81","Left","3 ","3","Continental","77"
"232363","188","80","81","81","Right","2 ","2","Continental","80"
"231652","189","77","81","81","Right","3 ","3","Local","75"
"231416","187","77","81","81","Left","3 ","4","Continental","76"
"230938","183","74","81","82","Right","4 ","3","Continental","75"
"230670","197","98","81","85","Right","2 ","1","Local","77"
"230430","184","79","81","81","Right","3 ","2","Continental","76"
"230384","180","75","81","81","Right","4 ","3","Continental","75"
"230347","178","69","81","81","Left","4 ","4","Continental","75"
"230258","175","70","81","81","Right","4 ","2","Continental","73"
"229261","190","81","81","82","Right","3 ","3","Continental","77"
"228579","185","84","81","81","Right","4 ","3","Continental","80"
"228251","186","77","81","81","Right","4 ","3","Continental","79"
"227950","182","79","81","81","Right","3 ","2","Continental","80"
"227535","187","73","81","82","Right","4 ","4","Continental","81"
"227236","184","83","81","81","Right","3 ","3","Continental","79"
"226754","175","70","81","83","Left","3 ","3","Continental","78"
"226226","177","68","81","81","Left","3 ","4","Continental","78"
"223952","192","85","81","81","Right","3 ","1","National","75"
"216354","177","73","81","81","Right","4 ","4","Continental","75"
"215590","178","66","81","81","Right","4 ","4","Continental","78"
"215316","189","84","81","81","Right","3 ","1","Continental","78"
"214997","171","70","81","81","Right","4 ","4","Continental","82"
"214096","194","85","81","81","Left","5 ","2","Local","76"
"213648","187","84","81","81","Right","4 ","3","Continental","78"
"213516","173","63","81","81","Right","4 ","3","Continental","74"
"212190","195","99","81","81","Right","3 ","3","Continental","81"
"210881","178","68","81","81","Left","2 ","3","Continental","81"
"210602","173","71","81","81","Right","5 ","4","National","77"
"210385","191","91","81","81","Left","3 ","1","Continental","79"
"209889","170","71","81","81","Left","2 ","4","Continental","84"
"209499","188","78","81","81","Right","2 ","3","Continental","74"
"209297","169","62","81","81","Left","4 ","4","Continental","80"
"208574","184","84","81","81","Left","2 ","3","Continental","80"
"207862","190","90","81","81","Right","3 ","2","Continental","76"
"206517","180","81","81","81","Right","3 ","4","Continental","85"
"205498","178","68","81","81","Right","3 ","3","Continental","83"
"205186","196","90","81","81","Right","3 ","1","Continental","78"
"204883","187","90","81","81","Left","3 ","1","Continental","76"
"202648","180","71","81","81","Right","3 ","3","Continental","76"
"202024","180","80","81","81","Right","3 ","4","Continental","76"
"200155","195","77","81","81","Right","5 ","4","Continental","74"
"200145","185","84","81","81","Right","3 ","2","Continental","80"
"199641","188","75","81","81","Right","2 ","1","National","78"
"193041","185","80","81","81","Right","3 ","1","Continental","71"
"192563","189","83","81","81","Right","3 ","1","Continental","77"
"192366","183","78","81","81","Right","3 ","2","Continental","79"
"192318","176","72","81","81","Right","4 ","4","Continental","77"
"192123","191","92","81","81","Right","3 ","2","Local","78"
"189881","194","81","81","81","Right","3 ","2","Continental","66"
"189596","185","76","81","81","Right","4 ","3","Continental","84"
"189511","189","76","81","81","Right","3 ","3","Continental","73"
"188350","180","71","81","81","Right","4 ","4","Continental","71"
"188335","190","75","81","81","Left","4 ","3","National","77"
"186345","173","71","81","81","Right","4 ","3","Continental","81"
"184392","182","70","81","81","Right","5 ","3","Continental","84"
"178509","193","91","81","81","Left","3 ","3","Continental","71"
"176580","182","86","81","81","Right","4 ","3","Continental","73"
"270673","178","68","80","88","Right","4 ","3","Local","83"
"264697","170","61","80","84","Right","3 ","3","Local","77"
"262138","183","84","80","87","Left","2 ","2","National","80"
"260592","195","86","80","88","Right","4 ","4","Local","80"
"259913","177","68","80","87","Right","5 ","3","Local","72"
"259868","184","70","80","85","Right","3 ","2","Local","81"
"259532","191","79","80","86","Right","3 ","1","Local","74"
"259307","178","74","80","84","Right","3 ","3","Continental","80"
"258648","184","75","80","81","Left","2 ","3","Local","84"
"257470","178","70","80","84","Right","5 ","3","Local","78"
"257179","185","81","80","87","Left","2 ","2","Local","79"
"256903","185","82","80","85","Right","4 ","2","Local","83"
"256612","183","80","80","83","Right","4 ","3","Local","77"
"253306","182","77","80","84","Right","3 ","3","Continental","80"
"253072","187","81","80","83","Right","3 ","3","Continental","84"
"252802","190","79","80","85","Right","2 ","3","Local","77"
"251852","180","77","80","86","Left","4 ","4","National","81"
"251806","179","71","80","85","Right","4 ","3","Local","76"
"247246","192","80","80","84","Right","3 ","3","National","80"
"246875","191","82","80","85","Right","3 ","2","Continental","80"
"246420","173","66","80","85","Right","3 ","4","Continental","85"
"246242","180","75","80","80","Right","4 ","3","Local","79"
"246172","172","70","80","81","Left","2 ","4","Local","81"
"245155","177","70","80","84","Left","3 ","4","Continental","78"
"244263","192","75","80","80","Right","4 ","2","Local","79"
"244257","181","79","80","85","Right","4 ","3","Local","75"
"244176","179","86","80","80","Right","5 ","3","Continental","77"
"243854","187","82","80","85","Right","3 ","2","National","76"
"242835","187","85","80","84","Right","3 ","2","National","78"
"242816","169","56","80","84","Right","3 ","3","Local","71"
"242444","181","70","80","84","Right","4 ","5","Continental","81"
"242434","185","75","80","83","Right","4 ","4","Local","84"
"242087","177","76","80","80","Right","5 ","3","Local","79"
"241850","186","86","80","82","Right","3 ","3","Local","80"
"241671","188","79","80","81","Right","2 ","1","Continental","80"
"239763","180","74","80","81","Left","2 ","4","Local","77"
"239482","179","62","80","80","Right","3 ","4","Local","75"
"239093","178","69","80","80","Right","3 ","3","National","77"
"238896","173","72","80","80","Right","2 ","4","Continental","76"
"238004","178","78","80","80","Right","4 ","3","Local","77"
"237985","190","85","80","83","Right","3 ","2","National","81"
"237712","178","70","80","83","Right","3 ","3","Continental","79"
"237646","181","73","80","80","Right","3 ","3","Local","78"
"236461","192","88","80","81","Right","5 ","3","Continental","78"
"236403","192","82","80","82","Left","3 ","2","National","79"
"236045","180","73","80","80","Left","3 ","3","Continental","82"
"235152","174","68","80","83","Right","4 ","4","Local","78"
"235149","185","74","80","81","Right","3 ","4","Continental","78"
"234824","176","74","80","80","Right","3 ","3","Local","77"
"234742","185","72","80","80","Right","4 ","3","National","81"
"234642","197","86","80","80","Right","2 ","1","Continental","75"
"234574","183","76","80","82","Right","4 ","4","Continental","80"
"234569","184","76","80","83","Right","2 ","2","Local","79"
"233306","188","85","80","81","Right","3 ","1","National","78"
"231913","179","71","80","80","Right","3 ","3","National","79"
"231677","186","70","80","80","Right","3 ","5","Continental","81"
"231591","172","70","80","80","Left","2 ","4","Local","82"
"231447","176","68","80","81","Right","4 ","4","Continental","81"
"230872","189","77","80","84","Right","3 ","1","Local","79"
"230666","175","73","80","80","Right","3 ","4","Continental","83"
"230313","179","80","80","80","Right","3 ","2","Local","74"
"230271","171","63","80","80","Left","5 ","4","Local","72"
"230225","181","82","80","80","Right","3 ","2","Local","75"
"230204","182","74","80","80","Right","3 ","1","Local","76"
"230201","177","75","80","80","Right","3 ","3","Local","73"
"229906","178","77","80","80","Left","2 ","4","Continental","81"
"229880","183","72","80","81","Right","2 ","3","National","78"
"229668","184","76","80","81","Left","3 ","2","Continental","83"
"229188","186","80","80","82","Right","4 ","3","Local","79"
"227647","180","71","80","80","Left","2 ","3","National","77"
"225663","178","69","80","80","Right","4 ","4","Continental","77"
"225539","187","80","80","81","Right","2 ","3","Continental","81"
"225126","185","74","80","80","Right","3 ","3","Continental","77"
"225100","188","77","80","81","Right","3 ","3","National","84"
"224656","184","82","80","80","Right","4 ","3","Local","78"
"223885","193","86","80","81","Right","5 ","1","National","77"
"223273","186","80","80","80","Right","4 ","4","Continental","80"
"222509","179","70","80","80","Right","3 ","4","National","85"
"221634","161","59","80","80","Right","4 ","5","Continental","68"
"220834","182","76","80","80","Left","3 ","4","Continental","81"
"219789","175","64","80","80","Right","3 ","3","National","78"
"219683","181","81","80","80","Right","2 ","3","Continental","77"
"216447","167","61","80","80","Left","3 ","3","Local","77"
"216409","171","65","80","80","Left","4 ","4","National","79"
"216388","173","67","80","80","Right","4 ","5","Continental","80"
"216150","182","75","80","80","Right","3 ","3","National","80"
"213666","191","88","80","80","Right","4 ","4","Continental","81"
"213655","180","75","80","80","Right","3 ","4","National","77"
"212096","180","80","80","80","Right","2 ","4","National","76"
"210676","196","85","80","80","Right","2 ","1","Local","73"
"208461","186","76","80","80","Right","3 ","3","Continental","80"
"208268","186","80","80","80","Right","4 ","3","Continental","79"
"207993","183","85","80","80","Left","2 ","2","National","80"
"207566","187","83","80","80","Right","4 ","3","National","78"
"206511","184","74","80","80","Left","2 ","3","National","77"
"205988","181","75","80","80","Left","2 ","3","Continental","80"
"205175","186","80","80","80","Left","3 ","3","Continental","80"
"205157","175","69","80","80","Right","3 ","3","Local","80"
"204639","187","80","80","80","Right","3 ","2","Continental","75"
"203980","183","70","80","80","Right","5 ","3","National","67"
"203263","193","100","80","80","Right","3 ","2","Continental","80"
"202695","188","81","80","80","Right","4 ","2","Local","76"
"201269","188","81","80","80","Right","2 ","1","National","75"
"200888","188","83","80","80","Right","3 ","3","Continental","74"
"200458","178","74","80","80","Left","1 ","3","National","81"
"200159","185","88","80","80","Right","4 ","1","Continental","85"
"197655","196","94","80","80","Right","3 ","2","Continental","71"
"193301","175","73","80","80","Right","4 ","4","Continental","77"
"190674","180","76","80","80","Right","3 ","3","National","77"
"190149","182","78","80","80","Right","2 ","4","National","80"
"189805","189","86","80","80","Right","5 ","3","Continental","78"
"189332","170","68","80","80","Left","3 ","3","Continental","73"
"175943","169","61","80","80","Right","4 ","4","Continental","79"
"163587","189","90","80","80","Right","3 ","1","Continental","75"
"73562","190","80","80","85","Right","2 ","1","Local","76"
"272500","183","77","79","86","Left","3 ","3","Local","78"
"272449","181","75","79","85","Right","3 ","3","Local","82"
"270571","177","79","79","84","Left","4 ","4","Local","79"
"270531","190","93","79","86","Right","3 ","2","Local","79"
"269626","194","88","79","83","Right","2 ","1","Local","74"
"266872","190","80","79","83","Right","3 ","2","Local","80"
"266127","179","71","79","85","Left","3 ","2","Local","81"
"264388","171","68","79","86","Right","4 ","4","Local","75"
"264348","181","79","79","79","Right","4 ","4","Local","71"
"264309","175","70","79","88","Left","3 ","4","Local","85"
"263205","186","80","79","82","Right","3 ","4","Local","79"
"262859","187","83","79","84","Left","3 ","2","Local","80"
"262402","185","77","79","84","Left","3 ","3","Local","78"
"261188","180","70","79","82","Right","3 ","4","Local","76"
"261050","168","61","79","86","Left","2 ","4","Local","80"
"260815","182","72","79","84","Right","3 ","2","Local","78"
"260599","177","73","79","85","Right","3 ","3","Local","76"
"259694","184","75","79","82","Right","3 ","2","Local","76"
"259516","185","83","79","85","Right","2 ","3","Local","78"
